-- ============================================================
-- PIYÈS — Photographie de la base de données 
-- (passée 080826, donc de legeres modifications peuvent avoir eu lieu depuis  )
-- ============================================================

-- Liste des tables et types

| table_name             | column_name             | data_type                   | is_nullable |
| BusinessProfile        | address                 | text                        | YES         | null               | text        | null                     | null              | null          |
| BusinessProfile        | repName                 | text                        | YES         | null               | text        | null                     | null              | null          |
| BusinessProfile        | createdAt               | timestamp without time zone | NO          | now()              | timestamp   | null                     | null              | null          |
| BusinessProfile        | updatedAt               | timestamp without time zone | NO          | now()              | timestamp   | null                     | null              | null          |
| Card                   | id                      | text                        | NO          | null               | text        | null                     | null              | null          |
| Card                   | userId                  | text                        | NO          | null               | text        | null                     | null              | null          |
| Card                   | type                    | text                        | NO          | null               | text        | null                     | null              | null          |
| Card                   | brand                   | text                        | NO          | null               | text        | null                     | null              | null          |
| Card                   | lastFour                | text                        | NO          | null               | text        | null                     | null              | null          |
| Card                   | expiryDate              | text                        | NO          | null               | text        | null                     | null              | null          |
| Card                   | status                  | text                        | NO          | 'active'::text     | text        | null                     | null              | null          |
| Card                   | color                   | text                        | NO          | null               | text        | null                     | null              | null          |
| Card                   | nameOnCard              | text                        | NO          | null               | text        | null                     | null              | null          |
| Card                   | cvv                     | text                        | NO          | null               | text        | null                     | null              | null          |
| Card                   | limit                   | integer                     | NO          | 0                  | int4        | null                     | 32                | 0             |
| Card                   | isFrozen                | boolean                     | NO          | false              | bool        | null                     | null              | null          |
| Card                   | onlinePayments          | boolean                     | NO          | true               | bool        | null                     | null              | null          |
| Card                   | international           | boolean                     | NO          | true               | bool        | null                     | null              | null          |
| Card                   | contactless             | boolean                     | NO          | true               | bool        | null                     | null              | null          |
| Card                   | createdAt               | timestamp without time zone | NO          | CURRENT_TIMESTAMP  | timestamp   | null                     | null              | null          |
| Card                   | updatedAt               | timestamp without time zone | NO          | null               | timestamp   | null                     | null              | null          |
| Contact                | id                      | text                        | NO          | null               | text        | null                     | null              | null          |
| Contact                | userId                  | text                        | NO          | null               | text        | null                     | null              | null          |
| Contact                | contactUserId           | text                        | YES         | null               | text        | null                     | null              | null          |
| Contact                | name                    | text                        | NO          | null               | text        | null                     | null              | null          |
| Contact                | tag                     | text                        | YES         | null               | text        | null                     | null              | null          |
| Contact                | app                     | text                        | NO          | 'piYès'::text      | text        | null                     | null              | null          |
| Contact                | isVerified              | boolean                     | NO          | false              | bool        | null                     | null              | null          |
| Contact                | isFavorite              | boolean                     | NO          | false              | bool        | null                     | null              | null          |
